keys,en,ko
QUEST_GATHER_01_TITLE,"Gather Logs","통나무 모으기"
QUEST_GATHER_01_DESC,"Chop down some trees to get some!","나무를 베어 통나무를 구해오게."
QUEST_PROGRESS,"{target} {cur}/{req}","{target} {cur}/{req}"
QUEST_REWARD_GOLD,"Reward: {gold} gold","보상: 골드 {gold}"
QUEST_COMPLETE,"Complete","완료"
QUEST_BACK,"Back","뒤로"
QUEST_TUTORIAL_01_TITLE, "Gather Logs","통나무 모으기"
QUEST_TUTORIAL_01_DESC,"Get an axe from the chest and chop some trees!","도끼는 상자 안에 있어. 챙겨서 나무를 몇 그루 베어 봐."
QUEST_RADIANT_GATHER_TITLE,"Gather {target}","{target} 모으기"
QUEST_RADIANT_GATHER_DESC,"Bring me {amount} {target}.","{target}, {amount}개만 구해다 주게."
QUEST_RADIANT_SLAY_TITLE,"Cull {target}","{target} 처치"
QUEST_RADIANT_SLAY_DESC,"Put down {amount} {target} around the farm.","농장 근처 {target} {amount}마리만 정리해 주게."
ENEMY_ZOMBIE,"Zombie","좀비"
ENEMY_SMALL_ZOMBIE,"Small zombie","작은 좀비"
ENEMY_AXE_ZOMBIE,"Axe zombie","도끼 좀비"
ENEMY_BIG_ZOMBIE,"Big zombie","거대 좀비"
